,index,zoom,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12
,56,18,148512,116432,148513,116432,148512,116433,148513,116433,148512,116434,148513,116434,148512,116435,148513,116435,148512,116436,148513,116436,148512,116437,148513,116437,
,57,18,148514,116432,148515,116432,148514,116433,148515,116433,148514,116434,148515,116434,148514,116435,148515,116435,148514,116436,148515,116436,148514,116437,148515,116437,
,58,18,148516,116432,148517,116432,148516,116433,148517,116433,148516,116434,148517,116434,148516,116435,148517,116435,148516,116436,148517,116436,148516,116437,148517,116437,
,59,18,148518,116432,148519,116432,148518,116433,148519,116433,148518,116434,148519,116434,148518,116435,148519,116435,148518,116436,148519,116436,148518,116437,148519,116437,
,60,18,148520,116432,148521,116432,148520,116433,148521,116433,148520,116434,148521,116434,148520,116435,148521,116435,148520,116436,148521,116436,148520,116437,148521,116437,
,61,18,148522,116432,148523,116432,148522,116433,148523,116433,148522,116434,148523,116434,148522,116435,148523,116435,148522,116436,148523,116436,148522,116437,148523,116437,
,62,18,148524,116432,148525,116432,148524,116433,148525,116433,148524,116434,148525,116434,148524,116435,148525,116435,148524,116436,148525,116436,148524,116437,148525,116437,
,63,18,148526,116432,148527,116432,148526,116433,148527,116433,148526,116434,148527,116434,148526,116435,148527,116435,148526,116436,148527,116436,148526,116437,148527,116437,
,64,18,148528,116432,148529,116432,148528,116433,148529,116433,148528,116434,148529,116434,148528,116435,148529,116435,148528,116436,148529,116436,148528,116437,148529,116437,
,65,18,148530,116432,148531,116432,148530,116433,148531,116433,148530,116434,148531,116434,148530,116435,148531,116435,148530,116436,148531,116436,148530,116437,148531,116437,
,66,18,148532,116432,148533,116432,148532,116433,148533,116433,148532,116434,148533,116434,148532,116435,148533,116435,148532,116436,148533,116436,148532,116437,148533,116437,
,67,18,148534,116432,148535,116432,148534,116433,148535,116433,148534,116434,148535,116434,148534,116435,148535,116435,148534,116436,148535,116436,148534,116437,148535,116437,
,68,18,148536,116432,148537,116432,148536,116433,148537,116433,148536,116434,148537,116434,148536,116435,148537,116435,148536,116436,148537,116436,148536,116437,148537,116437,
,69,18,148538,116432,148539,116432,148538,116433,148539,116433,148538,116434,148539,116434,148538,116435,148539,116435,148538,116436,148539,116436,148538,116437,148539,116437,
,70,18,148540,116432,148541,116432,148540,116433,148541,116433,148540,116434,148541,116434,148540,116435,148541,116435,148540,116436,148541,116436,148540,116437,148541,116437,
,71,18,148542,116432,148543,116432,148542,116433,148543,116433,148542,116434,148543,116434,148542,116435,148543,116435,148542,116436,148543,116436,148542,116437,148543,116437,
,72,18,148544,116432,148545,116432,148544,116433,148545,116433,148544,116434,148545,116434,148544,116435,148545,116435,148544,116436,148545,116436,148544,116437,148545,116437,
,73,18,148546,116432,148547,116432,148546,116433,148547,116433,148546,116434,148547,116434,148546,116435,148547,116435,148546,116436,148547,116436,148546,116437,148547,116437,
,74,18,148548,116432,148549,116432,148548,116433,148549,116433,148548,116434,148549,116434,148548,116435,148549,116435,148548,116436,148549,116436,148548,116437,148549,116437,
,75,18,148550,116432,148551,116432,148550,116433,148551,116433,148550,116434,148551,116434,148550,116435,148551,116435,148550,116436,148551,116436,148550,116437,148551,116437,
,76,18,148552,116432,148553,116432,148552,116433,148553,116433,148552,116434,148553,116434,148552,116435,148553,116435,148552,116436,148553,116436,148552,116437,148553,116437,
,77,18,148554,116432,148555,116432,148554,116433,148555,116433,148554,116434,148555,116434,148554,116435,148555,116435,148554,116436,148555,116436,148554,116437,148555,116437,
,78,18,148556,116432,148557,116432,148556,116433,148557,116433,148556,116434,148557,116434,148556,116435,148557,116435,148556,116436,148557,116436,148556,116437,148557,116437,
